Country	CTRY	Year	Birth_rate
Canada	CAN	2017	1.5413
Canada	CAN	2018	1.4996
Canada	CAN	2019	1.4517
Canada	CAN	2020	1.458
Canada	CAN	2021	1.4635
Egypt	EGY	1950	6.9939
Egypt	EGY	1951	6.9984
Egypt	EGY	1952	7.0149
Egypt	EGY	1953	7.0248
Egypt	EGY	1954	6.9685
Egypt	EGY	1955	6.9273
Egypt	EGY	1956	6.9044
Egypt	EGY	1957	6.8681
Egypt	EGY	1958	6.8365
Egypt	EGY	1959	6.8214
Egypt	EGY	1960	6.7942
Egypt	EGY	1961	6.7788
Egypt	EGY	1962	6.7552
Egypt	EGY	1963	6.7181
Egypt	EGY	1964	6.6427
Egypt	EGY	1965	6.5176
Egypt	EGY	1966	6.4332
Egypt	EGY	1967	6.3572
Egypt	EGY	1968	6.2865
Egypt	EGY	1969	6.1953
Egypt	EGY	1970	6.1186
Egypt	EGY	1971	6.031
Egypt	EGY	1972	5.9706
Egypt	EGY	1973	5.8881
Egypt	EGY	1974	5.8345
Egypt	EGY	1975	5.7986
Egypt	EGY	1976	5.7648
Egypt	EGY	1977	5.739
Egypt	EGY	1978	5.7169
Egypt	EGY	1979	5.7015
Egypt	EGY	1980	5.5778
Egypt	EGY	1981	5.4416
Egypt	EGY	1982	5.3713
Egypt	EGY	1983	5.3337
Egypt	EGY	1984	5.2391
Egypt	EGY	1985	5.1603
Egypt	EGY	1986	5.0704
Egypt	EGY	1987	4.9885
Egypt	EGY	1988	4.8713
Egypt	EGY	1989	4.6849
Egypt	EGY	1990	4.484
Egypt	EGY	1991	4.3039
Egypt	EGY	1992	4.2527
Egypt	EGY	1993	4.1028
Egypt	EGY	1994	3.9667
Egypt	EGY	1995	3.8444
Egypt	EGY	1996	3.7335
Egypt	EGY	1997	3.6537
Egypt	EGY	1998	3.6167
Egypt	EGY	1999	3.5237
Egypt	EGY	2000	3.4424
Egypt	EGY	2001	3.3942
Egypt	EGY	2002	3.3177
Egypt	EGY	2003	3.2611
Egypt	EGY	2004	3.1813
Egypt	EGY	2005	3.1507
Egypt	EGY	2006	3.1086
Egypt	EGY	2007	3.1198
Egypt	EGY	2008	3.101
Egypt	EGY	2009	3.1079
Egypt	EGY	2010	3.2127
Egypt	EGY	2011	3.247
Egypt	EGY	2012	3.3348
Egypt	EGY	2013	3.419
Egypt	EGY	2014	3.4414
Egypt	EGY	2015	3.4364
Egypt	EGY	2016	3.2026
Egypt	EGY	2017	3.1513
Egypt	EGY	2018	3.0983
Egypt	EGY	2019	3.0009
Egypt	EGY	2020	2.9602
Egypt	EGY	2021	2.9174
Brazil	BRA	1950	6.1216
Brazil	BRA	1951	6.1146
Brazil	BRA	1952	6.1021
Brazil	BRA	1953	6.093
Brazil	BRA	1954	6.087
Brazil	BRA	1955	6.0842
Brazil	BRA	1956	6.0835
Brazil	BRA	1957	6.0838
Brazil	BRA	1958	6.0829
Brazil	BRA	1959	6.0768
Brazil	BRA	1960	6.0609
Brazil	BRA	1961	6.0443
Brazil	BRA	1962	5.9947
Brazil	BRA	1963	5.9294
Brazil	BRA	1964	5.8176
Brazil	BRA	1965	5.6746
Brazil	BRA	1966	5.5294
Brazil	BRA	1967	5.3677
Brazil	BRA	1968	5.2017
Brazil	BRA	1969	5.0793
Brazil	BRA	1970	4.9722
Brazil	BRA	1971	4.857
Brazil	BRA	1972	4.7462
Brazil	BRA	1973	4.6457
Brazil	BRA	1974	4.5016
Brazil	BRA	1975	4.4152
Brazil	BRA	1976	4.3386
Brazil	BRA	1977	4.2668
Brazil	BRA	1978	4.1951
Brazil	BRA	1979	4.12
Brazil	BRA	1980	4.0373
Brazil	BRA	1981	3.9433
Brazil	BRA	1982	3.838
Brazil	BRA	1983	3.7229
Brazil	BRA	1984	3.5995
Brazil	BRA	1985	3.4712
Brazil	BRA	1986	3.3422
Brazil	BRA	1987	3.2338
Brazil	BRA	1988	3.1118
Brazil	BRA	1989	3.0102
Brazil	BRA	1990	2.9047
Brazil	BRA	1991	2.8145
Brazil	BRA	1992	2.7191
Brazil	BRA	1993	2.6723
Brazil	BRA	1994	2.6165
Brazil	BRA	1995	2.5786
Brazil	BRA	1996	2.5162
Brazil	BRA	1997	2.465
Brazil	BRA	1998	2.4087
Brazil	BRA	1999	2.3305
Brazil	BRA	2000	2.2545
Brazil	BRA	2001	2.1826
Brazil	BRA	2002	2.1034
Brazil	BRA	2003	2.0226
Brazil	BRA	2004	2.0023
Brazil	BRA	2005	1.9737
Brazil	BRA	2006	1.9272
Brazil	BRA	2007	1.8812
Brazil	BRA	2008	1.8416
Brazil	BRA	2009	1.8253
Brazil	BRA	2010	1.8102
Brazil	BRA	2011	1.7998
Brazil	BRA	2012	1.7669
Brazil	BRA	2013	1.7481
Brazil	BRA	2014	1.7673
Brazil	BRA	2015	1.7772
Brazil	BRA	2016	1.7085
Brazil	BRA	2017	1.7362
Brazil	BRA	2018	1.7485
Brazil	BRA	2019	1.7026
Brazil	BRA	2020	1.649
Brazil	BRA	2021	1.6406
Italy	ITA	1950	2.5273
Italy	ITA	1951	2.3772
Italy	ITA	1952	2.3074
Italy	ITA	1953	2.272
Italy	ITA	1954	2.3261
Italy	ITA	1955	2.3188
Italy	ITA	1956	2.3235
Italy	ITA	1957	2.3292
Italy	ITA	1958	2.307
Italy	ITA	1959	2.3803
Italy	ITA	1960	2.3782
Italy	ITA	1961	2.4212
Italy	ITA	1962	2.4537
Italy	ITA	1963	2.5138
Italy	ITA	1964	2.6526
Italy	ITA	1965	2.6026
Italy	ITA	1966	2.5782
Italy	ITA	1967	2.5044
Italy	ITA	1968	2.4922
Italy	ITA	1969	2.4646
Italy	ITA	1970	2.3901
Italy	ITA	1971	2.3973
Italy	ITA	1972	2.3489
Italy	ITA	1973	2.3099
Italy	ITA	1974	2.2858
Italy	ITA	1975	2.1684
Italy	ITA	1976	2.044
Italy	ITA	1977	1.9348
Italy	ITA	1978	1.8403
Italy	ITA	1979	1.7317
Italy	ITA	1980	1.6398
Italy	ITA	1981	1.5779
Italy	ITA	1982	1.5598
Italy	ITA	1983	1.5059
Italy	ITA	1984	1.4581
Italy	ITA	1985	1.4151
Italy	ITA	1986	1.3526
Italy	ITA	1987	1.3312
Italy	ITA	1988	1.3568
Italy	ITA	1989	1.3286
Italy	ITA	1990	1.3321
Italy	ITA	1991	1.3051
Italy	ITA	1992	1.2978
Italy	ITA	1993	1.2511
Italy	ITA	1994	1.2158
Italy	ITA	1995	1.1924
Italy	ITA	1996	1.1979
Italy	ITA	1997	1.2125
Italy	ITA	1998	1.214
Italy	ITA	1999	1.2372
Italy	ITA	2000	1.2542
Italy	ITA	2001	1.2509
Italy	ITA	2002	1.2679
Italy	ITA	2003	1.2888
Italy	ITA	2004	1.3377
Italy	ITA	2005	1.3426
Italy	ITA	2006	1.3706
Italy	ITA	2007	1.3989
Italy	ITA	2008	1.4413
Italy	ITA	2009	1.4459
Italy	ITA	2010	1.4503
Italy	ITA	2011	1.434
Italy	ITA	2012	1.4235
Italy	ITA	2013	1.3844
Italy	ITA	2014	1.3663
Italy	ITA	2015	1.347
Italy	ITA	2016	1.3379
Italy	ITA	2017	1.3194
Italy	ITA	2018	1.2865
Italy	ITA	2019	1.2647
Italy	ITA	2020	1.2607
Italy	ITA	2021	1.2825
Sweden	SWE	1950	2.3037
Sweden	SWE	1951	2.2133
Sweden	SWE	1952	2.2341
Sweden	SWE	1953	2.2596
Sweden	SWE	1954	2.1897
Sweden	SWE	1955	2.2573
Sweden	SWE	1956	2.2879
Sweden	SWE	1957	2.2832
Sweden	SWE	1958	2.2581
Sweden	SWE	1959	2.2386
Sweden	SWE	1960	2.1765
Sweden	SWE	1961	2.203
Sweden	SWE	1962	2.2324
Sweden	SWE	1963	2.3156
Sweden	SWE	1964	2.4551
Sweden	SWE	1965	2.4113
Sweden	SWE	1966	2.3624
Sweden	SWE	1967	2.2677
Sweden	SWE	1968	2.0747
Sweden	SWE	1969	1.9347
Sweden	SWE	1970	1.9371
Sweden	SWE	1971	1.9719
Sweden	SWE	1972	1.9238
Sweden	SWE	1973	1.8697
Sweden	SWE	1974	1.881
Sweden	SWE	1975	1.769
Sweden	SWE	1976	1.6829
Sweden	SWE	1977	1.6414
Sweden	SWE	1978	1.6028
Sweden	SWE	1979	1.6545
Sweden	SWE	1980	1.674
Sweden	SWE	1981	1.6349
Sweden	SWE	1982	1.6164
Sweden	SWE	1983	1.6136
Sweden	SWE	1984	1.6581
Sweden	SWE	1985	1.7363
Sweden	SWE	1986	1.798
Sweden	SWE	1987	1.846
Sweden	SWE	1988	1.9588
Sweden	SWE	1989	2.0188
Sweden	SWE	1990	2.1219
Sweden	SWE	1991	2.1114
Sweden	SWE	1992	2.0811
Sweden	SWE	1993	1.994
Sweden	SWE	1994	1.88
Sweden	SWE	1995	1.732
Sweden	SWE	1996	1.608
Sweden	SWE	1997	1.5288
Sweden	SWE	1998	1.5074
Sweden	SWE	1999	1.5024
Sweden	SWE	2000	1.5434
Sweden	SWE	2001	1.571
Sweden	SWE	2002	1.6491
Sweden	SWE	2003	1.7102
Sweden	SWE	2004	1.7504
Sweden	SWE	2005	1.7738
Sweden	SWE	2006	1.8501
Sweden	SWE	2007	1.8782
Sweden	SWE	2008	1.9024
Sweden	SWE	2009	1.9313
Sweden	SWE	2010	1.9757
Sweden	SWE	2011	1.9051
Sweden	SWE	2012	1.9027
Sweden	SWE	2013	1.8809
Sweden	SWE	2014	1.8777
Sweden	SWE	2015	1.8494
Sweden	SWE	2016	1.848
Sweden	SWE	2017	1.7859
Sweden	SWE	2018	1.7559
Sweden	SWE	2019	1.7173
Sweden	SWE	2020	1.6703
Sweden	SWE	2021	1.67
Turkey	TUR	1950	6.468
Turkey	TUR	1951	6.4677
Turkey	TUR	1952	6.4705
Turkey	TUR	1953	6.4771
Turkey	TUR	1954	6.4679
Turkey	TUR	1955	6.4632
Turkey	TUR	1956	6.4633
Turkey	TUR	1957	6.454
Turkey	TUR	1958	6.4337
Turkey	TUR	1959	6.4159
Turkey	TUR	1960	6.3831
Turkey	TUR	1961	6.3516
Turkey	TUR	1962	6.2869
Turkey	TUR	1963	6.2225
Turkey	TUR	1964	6.1345
Turkey	TUR	1965	6.0329
Turkey	TUR	1966	5.9251
Turkey	TUR	1967	5.796
Turkey	TUR	1968	5.7487
Turkey	TUR	1969	5.6921
Turkey	TUR	1970	5.6247
Turkey	TUR	1971	5.552
Turkey	TUR	1972	5.4639
Turkey	TUR	1973	5.3615
Turkey	TUR	1974	5.2301
Turkey	TUR	1975	5.0726
Turkey	TUR	1976	4.9189
Turkey	TUR	1977	4.7576
Turkey	TUR	1978	4.6721
Turkey	TUR	1979	4.5637
Turkey	TUR	1980	4.4256
Turkey	TUR	1981	4.3139
Turkey	TUR	1982	4.175
Turkey	TUR	1983	4.024
Turkey	TUR	1984	3.8938
Turkey	TUR	1985	3.7549
Turkey	TUR	1986	3.6287
Turkey	TUR	1987	3.4967
Turkey	TUR	1988	3.3871
Turkey	TUR	1989	3.282
Turkey	TUR	1990	3.1258
Turkey	TUR	1991	3.0483
Turkey	TUR	1992	2.936
Turkey	TUR	1993	2.8956
Turkey	TUR	1994	2.8515
Turkey	TUR	1995	2.7915
Turkey	TUR	1996	2.7926
Turkey	TUR	1997	2.7159
Turkey	TUR	1998	2.67
Turkey	TUR	1999	2.5925
Turkey	TUR	2000	2.505
Turkey	TUR	2001	2.5325
Turkey	TUR	2002	2.323
Turkey	TUR	2003	2.2314
Turkey	TUR	2004	2.224
Turkey	TUR	2005	2.2239
Turkey	TUR	2006	2.2271
Turkey	TUR	2007	2.1946
Turkey	TUR	2008	2.1778
Turkey	TUR	2009	2.1619
Turkey	TUR	2010	2.1369
Turkey	TUR	2011	2.1332
Turkey	TUR	2012	2.1489
Turkey	TUR	2013	2.1646
Turkey	TUR	2014	2.1997
Turkey	TUR	2015	2.1938
Turkey	TUR	2016	2.1772
Turkey	TUR	2017	2.1395
Turkey	TUR	2018	2.0538
Turkey	TUR	2019	1.9665
Turkey	TUR	2020	1.917
Turkey	TUR	2021	1.8892
